average,bpm,max_in_period,raw_value,timestamp,user_email,id,processed_timestamp
91,73.170731707,1441,1441,.sv,test@test.com,-ONi_zRXiXj8xcOjm7DQ,.sv
173,60.667340748,4095,4095,.sv,test@test.com,-ONi_zVQ-o-gRWj0v7NK,.sv
136,66.666666667,403,403,.sv,test@test.com,-ONia-WKlswksJW5qhnt,.sv
42,118.811881188,3869,3869,.sv,test@test.com,-ONia-cwNzWaz2SIENO3,.sv
61,58.708414873,2249,2249,.sv,test@test.com,-ONia-uBPAXoTrLU_3lS,.sv
23,108.499095841,58,58,.sv,test@test.com,-ONia01BwRYbK-EFNEXx,.sv
64,114.722753346,4095,4095,.sv,test@test.com,-ONia09tG_N3ClS8d7OI,.sv
81,45.317220544,4095,4095,.sv,test@test.com,-ONia10GDcXLijigmtGu,.sv
163,24.174053183,4095,4095,.sv,test@test.com,-ONia14GE71wu9z4WaNs,.sv
172,198.01980198,894,894,.sv,test@test.com,-ONia18vPILHLExAK-Ti,.sv
7,20.4778157,435,435,.sv,test@test.com,-ONia5w9tEXsSSQMbDHY,.sv
203,125.0,4095,4095,.sv,test@test.com,-ONia6BF5tWMYa61rURx,.sv
127,103.448275862,430,430,.sv,test@test.com,-ONia6JwxTiOpb49v2Is,.sv
130,118.811881188,319,319,.sv,test@test.com,-ONia6RdOOTlYC_c5h-8,.sv
9,20.833333333,688,688,.sv,test@test.com,-ONia7tPAJeml3BGkGtD,.sv
327,21.857923497,4095,4095,.sv,test@test.com,-ONia8ZF0FyOgVxL8Gfj,.sv
491,28.557829605,966,966,.sv,test@test.com,-ONia9Hp2QtDCDq2trlz,.sv
4,28.28854314,205,205,.sv,test@test.com,-ONia9nvLzWrDrj_SdhC,.sv
167,75.0,4095,4095,.sv,test@test.com,-ONiaA4U_mAhXlRJr5kL,.sv
49,37.037037037,4095,4095,.sv,test@test.com,-ONiaAYPBAkL3gKaVPFz,.sv
89,150.0,4015,4015,.sv,test@test.com,-ONiaAcc8DyShmbNh5bn,.sv
1059,69.68641115,1641,1641,.sv,test@test.com,-ONiaBjx21JB0UgXz-ql,.sv
1100,56.818181818,4095,4095,.sv,test@test.com,-ONiaBr2jtTwqaHA5EpU,.sv
2729,63.829787234,4095,4095,.sv,test@test.com,-ONifEpgEDcMoRlCsnf-,.sv
2725,56.444026341,4095,4095,.sv,test@test.com,-ONifEtYkyghd8Iy1W8O,.sv
22,30.181086519,967,967,.sv,test@test.com,-ONifFNWwfy0kduoYEMT,.sv
26,126.582278481,451,451,.sv,test@test.com,-ONifFUyHdSr7c2Knebe,.sv
67,62.827225131,4095,4095,.sv,test@test.com,-ONifFj4_jtWDxuF9XuO,.sv
3,55.555555556,181,181,.sv,test@test.com,-ONifHOd2XHGvl8akKqT,.sv
